store_name,stage,channel,has_objection,prompt_used,drafted_message
Faded Apparel,customer,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Faded Apparel. What we know: 80s/90s denim & sportswear specialist. They are an ACTIVE customer. This is NOT a sales message — it's a relationship check-in. Ask how things are going, mention anything new that suits what they sell, and make clear this is about the relationship, not extracting another sale. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Subject: Hey — just checking in

Hey Faded Apparel team,

Hope things are good your end! Just wanted to check in and see how the season's treating you. We've been seeing some solid 90s Champion and Starter pieces moving through lately — figured that might be right up your alley.

No agenda here, genuinely just curious how things are going. Always happy to chat if there's anything useful we can do.

Take care"
Heirloom Archive,customer,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Heirloom Archive. What we know: Reworked vintage and archive designer pieces. They are an ACTIVE customer. This is NOT a sales message — it's a relationship check-in. Ask how things are going, mention anything new that suits what they sell, and make clear this is about the relationship, not extracting another sale. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Subject: Checking in

Hey Heirloom Archive,

Just wanted to check in and see how things are going your end — hope the reworked archive pieces are moving well.

No agenda here, genuinely just touching base. We did get some interesting deadstock trims in recently that felt very on-brand for what you do, so thought of you.

How's the season been treating you?"
Patina Emporium,churned,physical,False,"Draft a short phone call message to a vintage clothing shop/reseller. Shop/reseller: Patina Emporium. What we know: Retro football shirts & vintage sportswear | Keen but wants to see the app before committing.. They used to buy from us and have gone quiet. This is a WIN-BACK message. Acknowledge the gap lightly without being awkward about it, don't apologise excessively, and give a concrete, specific reason to come back (new stock relevant to what they sell, or what's changed since they left). Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey, it's [Name] from [Company] — hope you're well! We've had a big influx of retro football shirts and vintage sportswear coming through lately, so thought of you. I know it's been a little while, and I also know you wanted to see the app before committing — happy to walk you through it properly if that helps. Worth a quick chat?"
THE COSTUME TRUNK,churned,physical,False,"Draft a short phone call message to a vintage clothing shop/reseller. Shop/reseller: THE COSTUME TRUNK. What we know: Records, vinyl & memorabilia. They used to buy from us and have gone quiet. This is a WIN-BACK message. Acknowledge the gap lightly without being awkward about it, don't apologise excessively, and give a concrete, specific reason to come back (new stock relevant to what they sell, or what's changed since they left). Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey, this is a message for The Costume Trunk — hope you're all doing well. It's been a little while since we've been in touch, but we've just taken in a really strong haul of vintage band tees, tour jackets, and some great era-specific pieces that feel very on-brand for what you do. Worth a look if you're buying. Give us a call back and we'll set something up."
Nomad Vault,negotiating,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Nomad Vault. What we know: Reworked vintage and archive designer pieces. We're mid-deal. Be direct and practical — reference that we're close, remove friction, and ask for the specific next step to close (e.g. confirm the visit, send over terms). No re-pitching. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Subject: Picking up where we left off

Hey,

Just wanted to keep the momentum going on our end — we're close and I don't want this to stall out over logistics.

What's the cleanest next step for you? Happy to come by the vault, jump on a quick call, or if terms are ready to go, just send them over and I'll turn them around fast.

Let me know."
eraera65,negotiating,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: eraera65. What we know: no notes on file. We're mid-deal. Be direct and practical — reference that we're close, remove friction, and ask for the specific next step to close (e.g. confirm the visit, send over terms). No re-pitching. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey! We're so close on this — let's just get it wrapped up. What's the easiest next step on your end? Happy to confirm a pickup time, sort payment, whatever moves it forward fastest. Just let me know and I'll make it happen."
sourcedco83,replied,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: sourcedco83. What we know: no notes on file. They've engaged with us before. Move the conversation forward concretely — propose a specific next step (a call, a visit, sending pricing) rather than re-introducing Fleek. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey! Wanted to pick back up where we left off — would love to send over our current pricing and a breakdown of what we're working with inventory-wise. Happy to keep it simple, just shoot me your email or I can drop everything here. Let me know what works best for you!"
eraroom41,replied,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: eraroom41. What we know: no notes on file. They've engaged with us before. Move the conversation forward concretely — propose a specific next step (a call, a visit, sending pricing) rather than re-introducing Fleek. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.",Hey! Following up from our last chat — wanted to see if you'd be open to a quick call this week to dig into how Fleek could work for your sourcing? Happy to walk you through pricing and what bulk looks like for a shop like yours. Just let me know what day works best!
deadco34,contacted,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: deadco34. What we know: Sells on Depop + Vinted. We reached out before and haven't heard back. Gentle follow-up — don't repeat the full pitch, add ONE new reason to reply now (e.g. a relevant stock drop, a case study), and keep it very short. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.",Hey! Dropped you a message a little while back — just wanted to bump it in case it got buried. We've actually just had a load of new deadstock pieces come in that would sit well alongside what you're already listing on Depop and Vinted. Worth a quick chat? 🤙
Golden Era Closet,contacted,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Golden Era Closet. What we know: Vintage workwear, military surplus, carhartt. We reached out before and haven't heard back. Gentle follow-up — don't repeat the full pitch, add ONE new reason to reply now (e.g. a relevant stock drop, a case study), and keep it very short. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Subject: Following up — Golden Era Closet

Hey, just circling back on my last message. Didn't want it to get buried.

One thing worth mentioning — we just got a solid run of deadstock Carhartt duck canvas coming through, and it's moving fast with other workwear accounts right now.

Worth a quick chat? Happy to keep it short."
Golden Era Loft,new,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Golden Era Loft. What we know: Vintage workwear, military surplus, carhartt. This is a COLD first touch — they have never heard from us. Introduce Fleek briefly, reference something specific about what they sell (from the notes) to show this isn't a mass blast, and end with a low-commitment ask (a quick call, or 'worth a look?'). Do not assume any familiarity with Fleek. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Subject: Bulk vintage for Golden Era Loft?

Hey team,

Came across Golden Era Loft — love the focus on workwear and military surplus, that stuff moves fast when it's right.

I work with Fleek, we supply secondhand clothing in bulk to resellers. Think sorted lots that could work well alongside your Carhartt and surplus finds.

Worth a quick look?

[Name]"
grailfinds3,lost,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: grailfinds3. What we know: IG shop, DMs open. This lead was marked not interested or no fit previously. Only worth a very light, low-pressure re-approach — acknowledge it's been a while, note something may have changed, and make it easy to ignore if still not relevant. Do not be pushy. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey! Reached out a while back and totally get if the timing wasn't right. Things shift in this space pretty quickly though, so figured it was worth a quick nudge. If anything's changed on your end and you want to chat, I'm here — no pressure at all. Easy to ignore if still not relevant 👍"
studioarchive99,new,online_reseller,False,"Draft a short Instagram DM message to a vintage clothing shop/reseller. Shop/reseller: studioarchive99. What we know: Sells on Depop + Vinted. This is a COLD first touch — they have never heard from us. Introduce Fleek briefly, reference something specific about what they sell (from the notes) to show this isn't a mass blast, and end with a low-commitment ask (a quick call, or 'worth a look?'). Do not assume any familiarity with Fleek. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey! Love the curation at studioarchive99 — the archive pieces you stock are exactly the kind of inventory that moves well in bulk too. I work with Fleek, we supply vintage bundles to resellers on Depop and Vinted. Basically a way to restock without the charity shop trawl. Thought it might be relevant given what you're doing — worth a look?"
Heirloom Depot,lost,physical,False,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Heirloom Depot. What we know: Y2K, grunge and reworked one-off pieces. This lead was marked not interested or no fit previously. Only worth a very light, low-pressure re-approach — acknowledge it's been a while, note something may have changed, and make it easy to ignore if still not relevant. Do not be pushy. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey Heirloom Depot,

Reached out a while back and it wasn't the right fit — totally understood. Just wanted to check in briefly in case anything's shifted on your end. If you're still moving Y2K, grunge, or reworked pieces and sourcing has been a headache, happy to chat. If not, no worries at all — just ignore this one.

Hope the shop's doing well."
Static Loft,negotiating,physical,True,"Draft a short phone call message to a vintage clothing shop/reseller. Shop/reseller: Static Loft. What we know: 80s/90s denim & sportswear specialist | Heard of Fleek, thinks it's 'for small resellers'.. We're mid-deal. Be direct and practical — reference that we're close, remove friction, and ask for the specific next step to close (e.g. confirm the visit, send over terms). No re-pitching. IMPORTANT — this lead also has a specific objection to address: They believe Fleek is only for small resellers / too low-end for them. Directly and briefly counter this — mention that Fleek works with shops buying serious volume (100+ units at a time) and that pricing/quality tiers exist for exactly their kind of operation. Don't be defensive about it, just correct the misconception factually and move on to the ask. Note: since they already have an opinion about Fleek, treat them as aware of us even if the stage instruction above assumed no familiarity — don't introduce Fleek as if from scratch. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey, it's [Name] from Fleek — just following up on Static Loft. We're pretty close on this and I don't want it to stall out. Quick one on the ""small resellers"" thing — we're actually moving 100-plus unit orders regularly for shops your size, denim and sportswear included, proper volume tiers. Not the same lane. Can we lock in the visit this week or should I just send terms over now so you can look properly?"
Loop Apparel,negotiating,physical,True,"Draft a short email message to a vintage clothing shop/reseller. Shop/reseller: Loop Apparel. What we know: Vintage streetwear — Nike, Adidas, Ralph | Heard of Fleek, thinks it's 'for small resellers'.. We're mid-deal. Be direct and practical — reference that we're close, remove friction, and ask for the specific next step to close (e.g. confirm the visit, send over terms). No re-pitching. IMPORTANT — this lead also has a specific objection to address: They believe Fleek is only for small resellers / too low-end for them. Directly and briefly counter this — mention that Fleek works with shops buying serious volume (100+ units at a time) and that pricing/quality tiers exist for exactly their kind of operation. Don't be defensive about it, just correct the misconception factually and move on to the ask. Note: since they already have an opinion about Fleek, treat them as aware of us even if the stage instruction above assumed no familiarity — don't introduce Fleek as if from scratch. Keep it under 70 words, no corporate tone, sound like a real person who knows the secondhand/vintage clothing trade. Output ONLY the message text itself — no preamble like 'Here's a draft:', no markdown formatting, no word count, no explanation of your choices afterward. Just the raw message, ready to send as-is.","Hey Loop,

Quick one — I know we're close, so just want to keep the momentum going.

On the ""small reseller"" thing: Fleek works with shops moving 100+ units a time, Nike, Adidas, Ralph — curated by tier. It's built for exactly your volume, not boutique dropshippers.

Can you confirm the visit for this week, or want me to send terms over first?"
