lead_id,store_name,lead_channel_label,google_maps_category,instagram_handle,followers,items_listed,sell_through_rate,website,email,phone,owner_name,address,city,neighbourhood,country,lat,lng,est_monthly_spend_gbp,lead_stage,last_contact_date,last_purchase_date,notes,lead_source,stage_clean,channel_clean,last_contact_date_clean,last_purchase_date_clean,is_genuine_lead,has_email,has_phone,has_owner_name,best_contact_method,contact_completeness
L1028,Faded Apparel,store,Used clothing store,@fadedapparel,16512.0,,,fadedapparel.co.uk,info@fadedapparel.com,,Ben Byrne,172 Market St,London,"Camden, London",UK,51.54759,-0.14668,4143,closed - won,20 Jun,2026/06/02,80s/90s denim & sportswear specialist,Inbound,customer,physical,2026-06-20,2026-02-06,True,True,False,True,email,3
L1104,Heirloom Archive,physical,Vintage clothing store,@heirloomarchive,12056.0,,,heirloomarchive.shop,info@heirloomarchiv.com,,Grace Marsh,45 High St,Paris,"Le Marais, Paris",France,48.86985,2.36851,2767,won,2026/05/12,2026/05/19,Reworked vintage and archive designer pieces,Referral,customer,physical,2026-12-05,2026-05-19,True,True,False,True,email,3
L1138,retrosupply58,,,@retrosupply58,20389.0,1151.0,60%,,,,,,,,,,,764,closed - won,2026/05/22,19/06/2026,"Whatnot seller, live sales",Whatnot,customer,online_reseller,2026-05-22,2026-06-19,True,False,False,False,instagram_dm,1
L1184,archivefinds36,,,@archivefinds36,39209.0,440.0,38%,,,,,,,,,,,1613,won,2026-06-30,2026/06/27,"IG shop, DMs open",Whatnot,customer,online_reseller,2026-06-30,2026-06-27,True,False,False,False,instagram_dm,1
L1134,thriftedpicks46,depop,,@thriftedpicks46,46812.0,247.0,7%,,,,,,,,,,,938,won,10 Jun,24 Jun,Sells on Depop + Vinted,Whatnot,customer,online_reseller,2026-06-10,2026-06-24,True,False,False,False,instagram_dm,1
L1157,archiveco79,,,@archiveco79,56653.0,141.0,59%,,archiveco79@gmail.com,,,,,,,,,1417,closed - won,22 Apr,2026-05-28,"IG shop, DMs open",Depop scrape,customer,online_reseller,2026-04-22,2026-05-28,True,True,False,False,instagram_dm,2
L1097,Faded Vault,,Consignment store,@fadedvault,21308.0,,,fadedvault.com,,+44 7552696582,Noor Meyer,19 High St,Glasgow,Glasgow,UK,55.8663,-4.26347,656,won,2026-04-16,2026-05-22,"Vintage workwear, military surplus, carhartt | Owner mentioned they already buy from a Pakistan supplier.",Market visit,customer,physical,2026-04-16,2026-05-22,True,False,True,True,phone,3
L1004,Heirloom Store,shop,Vintage boutique,@heirloomstore,28616.0,,,heirloomstore.shop,info@heirloomstore.com,,Chloe Dubois,17 Broadway,London,"Shoreditch, London",UK,51.52116,-0.06009,8087,WON,17/06/2026,26 May,"Y2K, grunge and reworked one-off pieces",Referral,customer,physical,2026-06-17,2026-05-26,True,True,False,True,email,3
L1036,Patina Emporium,,Used clothing store,@patinaemporium,22561.0,,,,,+44 7516048175,Rosa Ferreira,68 Broadway,London,"Camden, London",UK,51.54674,-0.13203,1534,lapsed,31 Mar,July 27 2025,Retro football shirts & vintage sportswear | Keen but wants to see the app before committing.,Market visit,churned,physical,2026-03-31,2025-07-27,True,False,True,True,phone,3
L1198,THE COSTUME TRUNK,,Flea market,@thecostumetrunk,12987.0,,,thecostumetrunk.co.uk,,+44 7325953278,Sam Meyer,79 Kingsland Rd,London,"Soho, London",UK,51.50236,-0.12331,1196,Churned,2026/05/09,,"Records, vinyl & memorabilia",BDR,churned,physical,2026-09-05,,True,False,True,True,phone,3
L1201,NOMAD ROOM,,Vintage clothing store,@nomadroom,5647.0,,,nomadroom.co.uk,info@nomadroom.com,+44 7362266093,,116 Broadway,Bristol,"Stokes Croft, Bristol",UK,51.46233,-2.58509,3732,Churned,May 4 2026,,80s/90s denim & sportswear specialist | ,Google Maps scrape,churned,physical,2026-05-04,,True,True,True,False,email,3
L1133,stockrail59,IG,,@stockrail59,56133.0,960.0,26%,,,,,,,,,,,236,lapsed,May 2 2026,2025-11-10,Sells on Depop + Vinted,Vinted scrape,churned,online_reseller,2026-05-02,2025-10-11,True,False,False,False,instagram_dm,1
L1186,retrofinds66,,,@retrofinds66,17193.0,936.0,29%,,,,,,,,,,,2352,stopped buying,20 Apr,January 2 2026,"Fast seller, good margins",Instagram,churned,online_reseller,2026-04-20,2026-01-02,True,False,False,False,instagram_dm,1
L1190,archivefinds16,,,@archivefinds16,63583.0,116.0,59%,,,,,,,,,,,2046,dormant,May 1 2026,September 28 2025,"Fast seller, good margins",Whatnot,churned,online_reseller,2026-05-01,2025-09-28,True,False,False,False,instagram_dm,1
L1165,grailroom62,,,@grailroom62,15987.0,158.0,21%,,,,,,,,,,,1218,Churned,2026/06/05,3 Dec,"Fast seller, good margins",Instagram,churned,online_reseller,2026-05-06,2026-12-03,True,False,False,False,instagram_dm,1
L1002,Second & Sons,store,Retro clothing shop,@secondandsons,2679.0,,,secondandsons.com,info@secondandsons.com,+44 7316475255,,54 Mill Lane,London,"Shoreditch, London",UK,51.52884,-0.06759,6770,dormant,26/06/2026,2026/01/14,"Curated vintage womenswear, Levi's & band tees | ",BDR,churned,physical,2026-06-26,2026-01-14,True,True,True,False,email,3
L1105,Foundry Archive,physical,Vintage boutique,@foundryarchive,27032.0,,,foundryarchive.com,info@foundryarchive.com,+33 672151070,,44 Broadway,Paris,"Le Marais, Paris",France,48.86672,2.35748,6501,churned,2026-06-22,15 Dec,"Curated vintage womenswear, Levi's & band tees | ",Market visit,churned,physical,2026-06-22,2026-12-15,True,True,True,False,email,3
L1143,depoprail41,depop,,@depoprail41,14109.0,1300.0,60%,,depoprail41@gmail.com,,,,,,,,,1751,Churned,June 3 2026,2025/10/06,,Vinted scrape,churned,online_reseller,2026-06-03,2025-06-10,True,True,False,False,instagram_dm,2
L1058,Thread Rail,store,Consignment store,@threadrail,15144.0,,,,,,Sofia Baker,164 Church Rd,London,"Notting Hill, London",UK,51.51543,-0.2049,3845,dormant,2026/05/03,22 Sep,Hand-picked vintage from the 60s to the 90s,Google Maps scrape,churned,physical,2026-03-05,2026-09-22,True,False,False,True,instagram_dm,2
