place_name,maps_category,full_address,rating,review_count,price_level,cluster_bonus,top_review,visit_priority_score,why,lat,lng
Second Rail,Vintage clothing store,"147 Dale St, Manchester",4.8,684,££,1.5,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",11.352584152580175,"rating 4.8, 684 reviews, price ££, 5 genuine shops within 500m, has website, has phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.46995,-2.23039
Second Corner,Boutique,"95 Tib St, Manchester",4.7,772,£££,1.2,"Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely",11.231425950503603,"rating 4.7, 772 reviews, price £££, 4 genuine shops within 500m, has website, has phone: ""Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely""",53.49321,-2.23494
Analog Archive,Vintage clothing store,"82 High St, Manchester",4.4,356,£££,1.5,"Three floors of curated vintage — massive shop, staff really know their stuff",10.527174996959314,"rating 4.4, 356 reviews, price £££, 5 genuine shops within 500m, has website, no phone: ""Three floors of curated vintage — massive shop, staff really know their stuff""",53.47221,-2.22771
Foundry Corner,Thrift store,"150 Oldham St, Manchester",4.3,724,£££,1.2,"Amazing selection of 90s Levi's and band tees, could spend hours here",10.48960784929572,"rating 4.3, 724 reviews, price £££, 4 genuine shops within 500m, no website, has phone: ""Amazing selection of 90s Levi's and band tees, could spend hours here""",53.4714,-2.22114
Velvet Garments,Boutique,"166 Oldham St, Manchester",4.8,664,££,0.6,"Great reworked pieces and archive designer, always something new in",10.433252119052026,"rating 4.8, 664 reviews, price ££, 2 genuine shops within 500m, has website, has phone: ""Great reworked pieces and archive designer, always something new in""",53.49887,-2.24671
Attic & Sons,Vintage store,"18 Newton St, Manchester",4.9,345,,0.8999999999999999,"Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely",10.056728642609912,"rating 4.9, 345 reviews, price nan, 3 genuine shops within 500m, has website, no phone: ""Proper vintage streetwear — Nike, Adidas, Ralph everywhere. Owner is lovely""",53.46885,-2.23459
Bygone Vintage,Boutique,"57 Tib St, Manchester",4.1,400,£££,0.8999999999999999,"Great reworked pieces and archive designer, always something new in",9.903089986991944,"rating 4.1, 400 reviews, price £££, 3 genuine shops within 500m, has website, has phone: ""Great reworked pieces and archive designer, always something new in""",53.4698,-2.21888
Time Warp Archive,Clothing store,"37 Hilton St, Manchester",3.6,814,£££,1.2,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",9.8659366073338,"rating 3.6, 814 reviews, price £££, 4 genuine shops within 500m, no website, has phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.47375,-2.23272
Patina Store,Retro clothing shop,"153 The Parade, Manchester, Manchester",4.6,549,££,0.3,"Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock",9.80935851667514,"rating 4.6, 549 reviews, price ££, 1 genuine shops within 500m, has website, has phone: ""Tucked away but worth it, one-off Y2K and grunge pieces, big turnover of stock""",53.49273,-2.2477
Retrograde Threads,Thrift store,"144 Church St, Manchester",4.3,732,££,0.3,"Retro football shirts and sportswear heaven, they get huge deliveries weekly",9.696766621587589,"rating 4.3, 732 reviews, price ££, 1 genuine shops within 500m, has website, has phone: ""Retro football shirts and sportswear heaven, they get huge deliveries weekly""",53.48127,-2.23239
